antigen_name,cancer_type,mean_tumor_expression,mean_normal_expression,stability_score,literature_support,immunogenicity_score,surface_accessibility,clinical_trials_count,viability_label,data_source,source_database,evidence_level
CD19,Leukemia,9.5,1.0,0.93,0.97,0.95,0.98,250,1,real,Literature,clinical
CD19,Lymphoma,9.2,1.1,0.92,0.96,0.94,0.98,220,1,real,Literature,clinical
BCMA,Myeloma,9.4,1.0,0.94,0.96,0.93,0.97,130,1,real,Literature,clinical
BCMA,Lymphoma,7.8,2.5,0.82,0.85,0.8,0.95,45,0,real,Literature,clinical
CD22,Leukemia,8.6,1.1,0.9,0.92,0.91,0.96,85,1,real,Literature,clinical
CD22,Lymphoma,8.3,1.3,0.88,0.9,0.89,0.96,60,1,real,Literature,clinical
GPRC5D,Myeloma,9.2,1.0,0.92,0.95,0.9,0.96,35,1,real,Literature,clinical
PSMA,Prostate Cancer,9.0,2.0,0.88,0.92,0.88,0.95,55,1,real,TCGA,clinical
GD2,Melanoma,8.8,1.5,0.89,0.93,0.87,0.94,40,1,real,TCGA,clinical
GD2,Glioblastoma,8.5,1.8,0.87,0.91,0.85,0.93,30,1,real,TCGA,clinical
GPC3,Liver Cancer,9.1,2.3,0.91,0.94,0.89,0.96,45,1,real,TCGA,clinical
FOLR1,Ovarian Cancer,8.0,2.5,0.85,0.89,0.84,0.94,30,1,real,TCGA,clinical
CLDN18,Gastric Cancer,8.7,1.8,0.87,0.92,0.83,0.97,25,1,real,TCGA,clinical
CLDN18,Pancreatic Cancer,8.3,2.0,0.85,0.9,0.82,0.97,20,1,real,TCGA,clinical
ROR1,Leukemia,8.9,1.2,0.88,0.91,0.86,0.95,25,1,real,Literature,clinical
DLL3,Lung Adenocarcinoma,7.8,2.0,0.85,0.9,0.82,0.94,20,1,real,TCGA,clinical
CD70,Renal Cancer,8.5,1.8,0.87,0.91,0.85,0.95,30,1,real,Literature,clinical
CD70,Lymphoma,8.0,2.5,0.83,0.87,0.8,0.94,15,0,real,Literature,clinical
CD138,Myeloma,9.0,1.5,0.91,0.94,0.88,0.96,25,1,real,Literature,clinical
CAIX,Renal Cancer,8.8,2.6,0.86,0.91,0.84,0.93,20,1,real,TCGA,clinical
IL13RA2,Glioblastoma,8.6,1.5,0.88,0.92,0.86,0.95,25,1,real,TCGA,clinical
NECTIN4,Breast Cancer,8.4,2.2,0.85,0.9,0.83,0.94,15,1,real,TCGA,clinical
NECTIN4,Bladder Cancer,8.6,2.0,0.86,0.91,0.84,0.94,12,1,real,TCGA,clinical
GUCY2C,Colorectal Cancer,8.6,2.0,0.86,0.91,0.83,0.95,15,1,real,TCGA,clinical
