antigen_name,cancer_type,mean_tumor_expression,mean_normal_expression,stability_score,literature_support,immunogenicity_score,surface_accessibility,clinical_trials_count,viability_label,data_source,source_database,evidence_level,biomarker_category,analyte_type,regulation,source_group
CA19-9,Pancreatic (PDAC),8.48,0.56,0.945,0.942,0.78,0.846,260,1,real,Literature,clinical,Glycolipid/protein,Protein,up,Serum Protein
sTRA,Pancreatic (PDAC),6.67,0.59,0.74,0.858,0.479,0.693,40,1,real,Literature,clinical,Glycolipid/protein,Protein,up,Serum Protein
CEA,Pancreatic (PDAC),7.67,1.34,0.666,0.904,0.645,0.637,180,1,real,Literature,clinical,Protein,Protein,up,Serum Protein
CA125 (MUC16),Pancreatic (PDAC),6.71,1.0,0.71,0.86,0.485,0.872,70,1,real,Literature,clinical,Glycoprotein,Protein,up,Serum Protein
CA242,Pancreatic (PDAC),6.7,1.83,0.585,0.577,0.483,0.816,10,1,real,Literature,preclinical,Glycoprotein,Protein,up,Serum Protein
Osteonectin,Pancreatic (PDAC),8.16,1.81,0.694,0.771,0.726,0.658,10,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
Osteopontin,Pancreatic (PDAC),8.38,0.44,0.831,0.801,0.764,0.761,1,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
DUPAN-2,Pancreatic (PDAC),6.81,0.67,0.705,0.592,0.502,0.517,2,1,real,Literature,preclinical,Glycolipid antigen,Protein,up,Serum Protein
LAMC2,Pancreatic (PDAC),9.36,1.85,0.664,0.931,0.926,0.851,10,1,real,Literature,preclinical,Protein (laminin),Protein,up,Serum Protein
ULBP2,Pancreatic (PDAC),6.52,1.28,0.848,0.553,0.454,0.774,6,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
sCD40L,Pancreatic (PDAC),7.61,1.67,0.769,0.698,0.636,0.715,9,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
LRG1,Pancreatic (PDAC),8.62,1.85,0.86,0.949,0.803,0.783,30,1,real,Literature,clinical,Protein,Protein,up,Serum Protein
C4BPA,Pancreatic (PDAC),8.74,1.37,0.645,0.849,0.823,0.621,7,1,real,Literature,preclinical,Protein (complement),Protein,up,Serum Protein
Cofilin-1,Pancreatic (PDAC),7.7,1.98,0.596,0.709,0.649,0.584,11,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
sgC1qR,Pancreatic (PDAC),7.0,1.51,0.73,0.617,0.534,0.881,8,1,real,Literature,preclinical,Protein receptor,Protein,up,Serum Protein
Trypsinogen-2,Pancreatic (PDAC),8.29,0.4,0.585,0.789,0.749,0.576,1,1,real,Literature,preclinical,Enzyme precursor,Protein,up,Serum Protein
DKK1,Pancreatic (PDAC),9.24,1.62,0.57,0.915,0.907,0.565,9,1,real,Literature,preclinical,Protein (Wnt inhibitor),Protein,up,Serum Protein
THBS-2,Pancreatic (PDAC),9.31,1.45,0.648,0.981,0.919,0.623,50,1,real,Literature,clinical,Protein (Thrombospondin),Protein,up,Serum Protein
THBS-1,Pancreatic (PDAC),7.09,0.51,0.813,0.629,0.549,0.748,1,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
AGR2,Pancreatic (PDAC),8.54,1.1,0.683,0.822,0.791,0.65,5,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
REG1A,Pancreatic (PDAC),8.03,0.93,0.795,0.921,0.704,0.734,35,1,real,Literature,clinical,Protein,Protein,up,Serum Protein
REGIII,Pancreatic (PDAC),9.23,0.64,0.812,0.914,0.905,0.747,2,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
REG1B,Pancreatic (PDAC),6.97,1.93,0.865,0.612,0.528,0.787,11,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
REG4,Pancreatic (PDAC),9.11,1.26,0.628,0.899,0.886,0.608,6,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
SYCN,Pancreatic (PDAC),8.24,0.93,0.881,0.782,0.74,0.799,4,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
LOXL2,Pancreatic (PDAC),7.81,1.14,0.626,0.725,0.668,0.607,5,1,real,Literature,preclinical,Enzyme (lysyl oxidase),Protein,up,Serum Protein
PARK7/DJ-1,Pancreatic (PDAC),7.54,1.52,0.592,0.688,0.623,0.582,8,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
TTR (Transthyretin),Pancreatic (PDAC),4.21,4.67,0.853,0.584,0.492,0.777,11,1,real,Literature,preclinical,Protein,Protein,context,Serum Protein
TTF1,Pancreatic (PDAC),7.67,1.52,0.85,0.706,0.645,0.625,8,1,real,Literature,preclinical,Transcription factor,Protein,up,Serum Protein
TTF2,Pancreatic (PDAC),7.36,1.92,0.631,0.664,0.593,0.461,11,1,real,Literature,preclinical,Transcription factor,Protein,up,Serum Protein
TTF3,Pancreatic (PDAC),8.67,1.95,0.798,0.839,0.812,0.586,11,1,real,Literature,preclinical,Transcription factor,Protein,up,Serum Protein
GPNMB,Pancreatic (PDAC),7.59,1.21,0.938,0.696,0.632,0.841,6,1,real,Literature,preclinical,Protein,Protein,up,Serum Protein
