Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",56.050000,-4.850000,0.000000,top
"C1","10µF","C_0805_2012Metric",13.000000,-38.000000,0.000000,top
"C2","1µF","C_0402_1005Metric",8.480000,-38.500000,0.000000,top
"C3","10µF","C_0805_2012Metric",26.000000,-41.500000,0.000000,top
"C4","1µF","C_0402_1005Metric",22.000000,-38.000000,0.000000,top
"C5","100nF","C_0402_1005Metric",8.500000,-31.500000,0.000000,top
"C6","22µF","C_0805_2012Metric",34.000000,-38.000000,0.000000,top
"C7","100nF","C_0402_1005Metric",34.000000,-42.000000,0.000000,top
"C8","22µF","C_0805_2012Metric",26.000000,-39.500000,0.000000,top
"C9","100nF","C_0402_1005Metric",26.000000,-38.000000,0.000000,top
"C10","10µF","C_0805_2012Metric",14.000000,-52.000000,0.000000,top
"C11","100nF","C_0402_1005Metric",14.000000,-48.000000,0.000000,top
"C12","10µF","C_0805_2012Metric",27.500000,-48.000000,0.000000,top
"C13","100nF","C_0402_1005Metric",10.520000,-53.000000,0.000000,top
"C14","10µF","C_0805_2012Metric",6.000000,-51.500000,0.000000,top
"C15","100nF","C_0402_1005Metric",8.000000,-57.000000,0.000000,top
"C16","1µF","C_0402_1005Metric",31.400000,-52.000000,0.000000,top
"C17","1µF","C_0402_1005Metric",39.400000,-52.000000,0.000000,top
"C18","100nF","C_0402_1005Metric",35.400000,-47.500000,0.000000,top
"C19","10µF","C_0805_2012Metric",31.400000,-48.000000,0.000000,top
"C20","22µF","C_0805_2012Metric",27.500000,-52.000000,0.000000,top
"C21","10µF","C_0805_2012Metric",9.550000,-50.500000,0.000000,top
"C22","100nF","C_0402_1005Metric",11.980000,-11.500000,0.000000,top
"C23","100nF","C_0402_1005Metric",13.980000,-11.500000,0.000000,top
"C24","100nF","C_0402_1005Metric",11.980000,-17.500000,0.000000,top
"C25","100nF","C_0402_1005Metric",11.980000,-19.500000,0.000000,top
